collection_host,collection_key,category,data_element,source,instance_number,inst_id,value
racn01, BATCH1280765, id, collector_version, v1601,                    0,                    0, 2016-01-05
racn01, BATCH1280765, id, collection_date, sysdate,                    0,                    0, 2019-04-10/11:39:08
racn01, BATCH1280765, id, awr_retention_days, dba_hist_snapshot,                    0,                    0,                                                                                8
racn01, BATCH1280765, id, awr_retention_days, dba_hist_snapshot,                    1,                    0,                                                                                8
racn01, BATCH1280765, id, awr_retention_days, dba_hist_snapshot,                    2,                    0,                                                                                8
racn01, BATCH1280765, id, awr_retention_days, dba_hist_snapshot,                    3,                    0,                                                                                8
racn01, BATCH1280765, id, collection_days, dba_hist_wr_control,                    0,                    0, 8
racn01, BATCH1280765, id, user, user,                    0,                    0, SYS
racn01, BATCH1280765, id, host, sys_context,                    0,                    0, racn01
racn01, BATCH1280765, id, server_host, sys_context,                    0,                    0, racn01
racn01, BATCH1280765, id, dbid, v$database,                    0,                    0, 299719686
racn01, BATCH1280765, id, db_name, sys_context,                    0,                    0, BATCH1
racn01, BATCH1280765, id, db_unique_name, sys_context,                    0,                    0, BATCH1
racn01, BATCH1280765, id, platform_name, v$database,                    0,                    0, Linux x86 64-bit
racn01, BATCH1280765, id, host_name, gv$instance,                    1,                    1, racn01
racn01, BATCH1280765, id, host_name, gv$instance,                    2,                    2, racn02
racn01, BATCH1280765, id, host_name, gv$instance,                    3,                    3, racn03
racn01, BATCH1280765, id, version, gv$instance,                    1,                    1, 12.1.0.2.0
racn01, BATCH1280765, id, version, gv$instance,                    2,                    2, 12.1.0.2.0
racn01, BATCH1280765, id, version, gv$instance,                    3,                    3, 12.1.0.2.0
racn01, BATCH1280765, id, instance_name, gv$instance,                    1,                    1, BATCH11
racn01, BATCH1280765, id, instance_name, gv$instance,                    2,                    2, BATCH12
racn01, BATCH1280765, id, instance_name, gv$instance,                    3,                    3, BATCH13
racn01, BATCH1280765, id, instance_name, dba_hist_database_instance,                    1,                    0, BATCH11
racn01, BATCH1280765, id, instance_name, dba_hist_database_instance,                    2,                    0, BATCH12
racn01, BATCH1280765, id, instance_name, dba_hist_database_instance,                    3,                    0, BATCH13
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                    1,                    0,                         12
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                    2,                    0,                         13
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                    3,                    0,                         11
racn01, BATCH1280765, cpu, aas_on_cpu_peak              , dba_hist_active_sess_history,                    1,                    0,                         12
racn01, BATCH1280765, cpu, aas_on_cpu_peak              , dba_hist_active_sess_history,                    2,                    0,                         13
racn01, BATCH1280765, cpu, aas_on_cpu_peak              , dba_hist_active_sess_history,                    3,                    0,                         11
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_peak  , dba_hist_active_sess_history,                    1,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_peak  , dba_hist_active_sess_history,                    2,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_peak  , dba_hist_active_sess_history,                    3,                    0,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                   -1,                   -1,                         36
racn01, BATCH1280765, cpu, aas_on_cpu_peak              , dba_hist_active_sess_history,                   -1,                   -1,                         36
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_peak  , dba_hist_active_sess_history,                   -1,                   -1,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_9999   , dba_hist_active_sess_history,                    1,                    0,                         12
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_9999   , dba_hist_active_sess_history,                    2,                    0,                         11
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_9999   , dba_hist_active_sess_history,                    3,                    0,                         10
racn01, BATCH1280765, cpu, aas_on_cpu_9999              , dba_hist_active_sess_history,                    1,                    0,                         12
racn01, BATCH1280765, cpu, aas_on_cpu_9999              , dba_hist_active_sess_history,                    2,                    0,                         11
racn01, BATCH1280765, cpu, aas_on_cpu_9999              , dba_hist_active_sess_history,                    3,                    0,                         10
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_9999  , dba_hist_active_sess_history,                    1,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_9999  , dba_hist_active_sess_history,                    2,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_9999  , dba_hist_active_sess_history,                    3,                    0,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_9999   , dba_hist_active_sess_history,                   -1,                   -1,                         33
racn01, BATCH1280765, cpu, aas_on_cpu_9999              , dba_hist_active_sess_history,                   -1,                   -1,                         33
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_9999  , dba_hist_active_sess_history,                   -1,                   -1,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_999    , dba_hist_active_sess_history,                    1,                    0,                          8
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_999    , dba_hist_active_sess_history,                    2,                    0,                          8
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_999    , dba_hist_active_sess_history,                    3,                    0,                          7
racn01, BATCH1280765, cpu, aas_on_cpu_999               , dba_hist_active_sess_history,                    1,                    0,                          8
racn01, BATCH1280765, cpu, aas_on_cpu_999               , dba_hist_active_sess_history,                    2,                    0,                          8
racn01, BATCH1280765, cpu, aas_on_cpu_999               , dba_hist_active_sess_history,                    3,                    0,                          7
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_999   , dba_hist_active_sess_history,                    1,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_999   , dba_hist_active_sess_history,                    2,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_999   , dba_hist_active_sess_history,                    3,                    0,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_999    , dba_hist_active_sess_history,                   -1,                   -1,                         23
racn01, BATCH1280765, cpu, aas_on_cpu_999               , dba_hist_active_sess_history,                   -1,                   -1,                         23
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_999   , dba_hist_active_sess_history,                   -1,                   -1,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_99     , dba_hist_active_sess_history,                    1,                    0,                          5
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_99     , dba_hist_active_sess_history,                    2,                    0,                          5
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_99     , dba_hist_active_sess_history,                    3,                    0,                          5
racn01, BATCH1280765, cpu, aas_on_cpu_99                , dba_hist_active_sess_history,                    1,                    0,                          5
racn01, BATCH1280765, cpu, aas_on_cpu_99                , dba_hist_active_sess_history,                    2,                    0,                          5
racn01, BATCH1280765, cpu, aas_on_cpu_99                , dba_hist_active_sess_history,                    3,                    0,                          5
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_99    , dba_hist_active_sess_history,                    1,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_99    , dba_hist_active_sess_history,                    2,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_99    , dba_hist_active_sess_history,                    3,                    0,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_99     , dba_hist_active_sess_history,                   -1,                   -1,                         15
racn01, BATCH1280765, cpu, aas_on_cpu_99                , dba_hist_active_sess_history,                   -1,                   -1,                         15
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_99    , dba_hist_active_sess_history,                   -1,                   -1,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_97     , dba_hist_active_sess_history,                    1,                    0,                          4
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_97     , dba_hist_active_sess_history,                    2,                    0,                          4
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_97     , dba_hist_active_sess_history,                    3,                    0,                          4
racn01, BATCH1280765, cpu, aas_on_cpu_97                , dba_hist_active_sess_history,                    1,                    0,                          4
racn01, BATCH1280765, cpu, aas_on_cpu_97                , dba_hist_active_sess_history,                    2,                    0,                          4
racn01, BATCH1280765, cpu, aas_on_cpu_97                , dba_hist_active_sess_history,                    3,                    0,                          4
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_97    , dba_hist_active_sess_history,                    1,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_97    , dba_hist_active_sess_history,                    2,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_97    , dba_hist_active_sess_history,                    3,                    0,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_97     , dba_hist_active_sess_history,                   -1,                   -1,                         12
racn01, BATCH1280765, cpu, aas_on_cpu_97                , dba_hist_active_sess_history,                   -1,                   -1,                         12
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_97    , dba_hist_active_sess_history,                   -1,                   -1,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_95     , dba_hist_active_sess_history,                    1,                    0,                          4
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_95     , dba_hist_active_sess_history,                    2,                    0,                          3
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_95     , dba_hist_active_sess_history,                    3,                    0,                          3
racn01, BATCH1280765, cpu, aas_on_cpu_95                , dba_hist_active_sess_history,                    1,                    0,                          4
racn01, BATCH1280765, cpu, aas_on_cpu_95                , dba_hist_active_sess_history,                    2,                    0,                          3
racn01, BATCH1280765, cpu, aas_on_cpu_95                , dba_hist_active_sess_history,                    3,                    0,                          3
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_95    , dba_hist_active_sess_history,                    1,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_95    , dba_hist_active_sess_history,                    2,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_95    , dba_hist_active_sess_history,                    3,                    0,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_95     , dba_hist_active_sess_history,                   -1,                   -1,                         10
racn01, BATCH1280765, cpu, aas_on_cpu_95                , dba_hist_active_sess_history,                   -1,                   -1,                         10
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_95    , dba_hist_active_sess_history,                   -1,                   -1,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_90     , dba_hist_active_sess_history,                    1,                    0,                          3
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_90     , dba_hist_active_sess_history,                    2,                    0,                          3
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_90     , dba_hist_active_sess_history,                    3,                    0,                          2
racn01, BATCH1280765, cpu, aas_on_cpu_90                , dba_hist_active_sess_history,                    1,                    0,                          3
racn01, BATCH1280765, cpu, aas_on_cpu_90                , dba_hist_active_sess_history,                    2,                    0,                          3
racn01, BATCH1280765, cpu, aas_on_cpu_90                , dba_hist_active_sess_history,                    3,                    0,                          2
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_90    , dba_hist_active_sess_history,                    1,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_90    , dba_hist_active_sess_history,                    2,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_90    , dba_hist_active_sess_history,                    3,                    0,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_90     , dba_hist_active_sess_history,                   -1,                   -1,                          8
racn01, BATCH1280765, cpu, aas_on_cpu_90                , dba_hist_active_sess_history,                   -1,                   -1,                          8
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_90    , dba_hist_active_sess_history,                   -1,                   -1,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_75     , dba_hist_active_sess_history,                    1,                    0,                          2
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_75     , dba_hist_active_sess_history,                    2,                    0,                          2
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_75     , dba_hist_active_sess_history,                    3,                    0,                          2
racn01, BATCH1280765, cpu, aas_on_cpu_75                , dba_hist_active_sess_history,                    1,                    0,                          2
racn01, BATCH1280765, cpu, aas_on_cpu_75                , dba_hist_active_sess_history,                    2,                    0,                          2
racn01, BATCH1280765, cpu, aas_on_cpu_75                , dba_hist_active_sess_history,                    3,                    0,                          2
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_75    , dba_hist_active_sess_history,                    1,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_75    , dba_hist_active_sess_history,                    2,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_75    , dba_hist_active_sess_history,                    3,                    0,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_75     , dba_hist_active_sess_history,                   -1,                   -1,                          6
racn01, BATCH1280765, cpu, aas_on_cpu_75                , dba_hist_active_sess_history,                   -1,                   -1,                          6
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_75    , dba_hist_active_sess_history,                   -1,                   -1,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_median , dba_hist_active_sess_history,                    1,                    0,                          1
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_median , dba_hist_active_sess_history,                    2,                    0,                          1
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_median , dba_hist_active_sess_history,                    3,                    0,                          1
racn01, BATCH1280765, cpu, aas_on_cpu_median            , dba_hist_active_sess_history,                    1,                    0,                          1
racn01, BATCH1280765, cpu, aas_on_cpu_median            , dba_hist_active_sess_history,                    2,                    0,                          1
racn01, BATCH1280765, cpu, aas_on_cpu_median            , dba_hist_active_sess_history,                    3,                    0,                          1
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_median, dba_hist_active_sess_history,                    1,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_median, dba_hist_active_sess_history,                    2,                    0,                          0
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_median, dba_hist_active_sess_history,                    3,                    0,                          0
racn01, BATCH1280765, cpu, aas_on_cpu_and_resmgr_median , dba_hist_active_sess_history,                   -1,                   -1,                          3
racn01, BATCH1280765, cpu, aas_on_cpu_median            , dba_hist_active_sess_history,                   -1,                   -1,                          3
racn01, BATCH1280765, cpu, aas_resmgr_cpu_quantum_median, dba_hist_active_sess_history,                   -1,                   -1,                          0
